"Formes";"Texte1";"Texte2";"Texte3";"Texte4";"Texte5";"Texte6";"Texte7";"Texte8";"Texte9";"Texte10";"Texte11";"Texte12"
"deproenssa";0;0;0;0;0;0;0;0;1;0;0;0
"des";0;0;0;0;0;0;1;0;0;0;0;0
"desacortz";0;0;0;0;1;0;0;0;0;0;0;0
"desastruc";0;0;0;0;0;0;0;1;0;0;0;0
"desauinen";0;0;0;0;0;0;0;0;0;1;0;0
"deschapten";0;0;0;0;1;0;0;0;0;0;0;0
"deschausir";0;0;0;1;0;0;0;0;0;0;0;0
"descnidatz";0;0;0;1;0;0;0;0;0;0;0;0
"descobrir";0;0;0;0;0;0;0;0;0;0;0;1
"descreia";0;0;0;0;0;0;0;0;0;1;0;0
"descrima";0;0;1;0;0;0;0;0;0;0;0;0
"desen";0;0;0;0;0;0;0;0;0;0;0;1
"desenans";0;0;0;0;1;0;0;0;0;0;0;0
"desenmanenta";0;0;0;0;0;0;0;0;0;0;1;0
"deserta";0;0;1;0;0;0;0;0;0;0;0;0
"deseruir";0;0;0;0;0;0;0;0;0;1;0;0
"desesperat";0;0;0;0;0;0;0;0;1;0;0;0
"desir";0;0;0;0;0;0;0;0;1;1;0;0
"desiran";0;0;0;0;0;0;1;1;0;0;1;0
"desirar";0;0;0;0;0;0;0;0;0;0;1;0
"desiriers";0;0;0;0;0;0;0;0;0;0;1;0
"desirs";0;0;0;0;0;0;0;0;0;0;1;0
"deslais";0;0;0;0;0;1;0;0;0;0;0;0
"desleial";0;0;0;0;0;0;0;0;0;0;0;1
"desmenta";0;0;0;0;0;0;0;0;0;0;1;0
"desonors";0;0;0;0;1;1;0;0;0;0;0;0
"despen";1;0;0;0;0;0;0;0;0;0;0;0
"desperanssa";0;0;0;0;0;0;0;0;1;0;0;0
"desperos";0;0;0;0;0;1;0;0;0;0;0;0
"despers";0;0;0;1;0;0;0;0;0;0;0;0
"desplatz";0;0;0;0;0;0;0;0;0;0;0;1
"desque";0;0;0;0;0;1;0;0;0;0;0;1
"desreia";0;0;0;0;0;0;0;0;0;1;0;0
"dessetz";0;0;0;0;0;0;1;0;0;0;0;0
"destreignia";0;0;0;0;0;0;0;0;0;0;0;1
"destreing";2;0;0;0;0;0;0;0;0;0;0;0
"desual";0;0;0;0;0;0;0;0;0;0;0;1
"det";0;0;0;0;1;0;0;0;0;0;1;0
"detant";0;0;0;0;0;0;1;0;0;0;0;0
"detot";0;0;0;0;0;0;0;0;1;0;1;0
"deu";2;0;0;0;0;0;0;0;0;3;1;2
"deualor";0;0;0;0;0;0;0;0;0;1;0;0
"deuenc";0;0;0;1;0;0;0;0;0;0;0;0
"deuer";0;0;0;0;0;0;1;0;0;0;0;0
"deueraia";0;0;0;0;0;0;0;0;0;1;0;0
"deuers";0;0;0;0;0;0;0;0;0;1;0;0
"deuos";0;0;0;0;0;0;0;0;0;0;0;1
"deuria";0;0;0;0;0;1;0;0;0;0;0;1
"dia";0;0;0;0;0;0;1;0;0;0;0;0
"dic";0;0;0;1;0;0;1;0;0;0;0;0
"dich";0;0;0;0;0;0;0;0;1;2;0;0
"dicha";0;0;0;1;0;0;0;0;0;0;0;0
"die";0;0;0;0;0;1;0;0;0;0;1;0
"dieu";0;0;1;0;0;0;1;0;1;0;0;1
"dieus";1;1;1;0;0;0;0;0;0;0;1;0
"dig";0;0;0;1;0;0;0;0;0;0;0;0
"digz";0;1;0;0;0;1;0;0;1;0;0;0
"dil";0;0;0;0;0;0;0;0;0;0;2;0
"dimei";0;0;0;0;0;0;0;0;0;0;0;1
"dinz";0;0;1;0;0;0;0;0;0;0;0;0
"dir";0;0;0;0;0;0;0;1;2;0;0;3
"dirai";0;0;0;0;0;0;0;0;4;0;0;0
"diras";0;0;0;0;0;0;0;0;0;0;1;0
"dire";0;0;0;0;0;0;0;0;1;0;1;0
"direm";0;0;0;0;0;0;0;0;0;0;0;1
"diretz";0;0;0;1;0;0;0;0;0;0;0;0
"diria";0;0;0;0;0;0;1;0;0;0;0;1
"dis";0;0;0;0;1;0;0;1;0;0;0;1
"dissen";0;0;0;0;0;0;0;0;0;1;0;0
"disses";0;0;0;0;0;0;1;0;0;0;0;0
"ditz";0;1;0;0;0;0;0;1;0;0;0;1
"dol";0;0;0;0;0;0;0;0;0;1;0;0
"dolor";0;0;0;0;0;0;0;0;0;1;1;0
"dompna";1;0;0;0;0;1;1;0;4;0;2;1
"dompnam";0;0;0;0;0;0;1;0;0;0;0;0
"dompnas";0;0;0;0;0;0;0;0;0;0;0;1
"dompneiador";1;0;0;0;0;0;0;0;0;0;0;0
"dompnideu";0;1;0;0;0;0;0;0;0;0;0;0
"don";0;1;2;1;3;3;1;1;0;1;2;1
"dona";0;0;0;0;0;1;0;0;0;2;0;0
"doncs";0;0;0;1;1;0;0;0;1;0;0;0
"dones";0;0;0;0;0;0;0;0;1;0;0;0
"donor";0;0;0;0;0;0;0;0;1;0;0;0
"donpna";0;0;0;0;0;0;0;0;0;0;0;1
"dopti";0;0;0;0;0;0;0;0;0;0;1;0
"dorguoill";0;0;0;0;0;0;0;0;0;0;1;0
"dorien";1;0;0;0;0;0;0;0;0;0;0;0
"dos";0;0;0;0;0;1;0;0;0;0;0;0
"doussa";0;0;0;0;0;0;0;0;0;0;0;2
"doussamen";0;0;0;0;0;0;1;0;0;0;0;0
"doussor";1;0;0;0;0;0;0;0;0;0;0;0
"doutz";0;0;1;2;0;0;0;0;0;0;2;0
"drap";0;0;0;0;0;1;0;0;0;0;0;0
"dreich";0;0;0;0;1;1;1;0;1;1;0;0
"dreig";0;0;0;1;0;0;0;0;0;0;0;0
"dreitura";0;0;1;0;0;0;0;0;0;0;0;0
"dreituriers";0;0;0;0;0;0;0;0;0;0;1;0
"dreitz";0;0;0;1;0;0;0;0;0;1;0;0
"drut";2;0;0;0;0;0;1;0;0;0;0;0
"drutz";1;1;0;0;2;0;0;0;0;0;0;0
"dumil";0;0;0;0;0;0;0;0;0;0;1;0
"dun";1;0;2;2;0;0;0;0;0;0;0;0
"durarai";0;0;0;0;0;0;0;0;4;0;0;0
"dus";0;0;0;0;1;0;0;0;0;0;0;0
"e";9;8;5;16;22;29;1;3;3;1;4;1
"ebenfaich";0;0;0;0;0;0;0;0;0;1;0;0
"eblandir";0;0;0;0;0;0;0;1;0;0;0;0
"ebonas";0;0;0;0;0;0;0;0;0;0;0;1
"ecar";0;0;0;0;0;0;0;0;0;1;0;1
"ecenta";0;0;0;0;0;0;0;0;0;0;1;0
"ecill";0;0;0;0;0;0;0;1;0;0;0;0
"eclar";0;0;0;0;0;0;0;0;0;0;1;0
"ecouenta";0;0;0;0;0;0;0;0;0;0;1;0
"edaisso";0;0;0;0;0;0;0;0;0;0;1;1
"edamorosa";0;0;0;0;0;0;0;0;0;0;1;0
"ede";0;0;0;0;0;0;0;0;0;0;0;1
"ederiers";0;0;0;0;0;0;0;0;0;0;1;0
"edesir";0;0;0;0;0;0;0;0;0;0;0;1
"edesplazer";0;0;0;0;0;0;0;0;0;0;0;1
"edetotz";0;0;0;0;0;0;0;0;1;0;0;0
"edi";0;0;0;0;0;0;0;0;0;0;1;0
"edos";0;0;0;0;0;0;0;0;1;0;0;0
"effreis";0;0;0;1;0;0;0;0;0;0;0;0
"efin";0;0;0;0;0;0;0;0;0;0;1;0
"efis";0;0;0;0;0;0;0;1;0;0;0;0
"egen";0;0;0;0;0;0;0;1;0;0;0;1
"egenta";0;0;0;0;0;0;0;0;0;0;1;0
"egrazir";0;0;0;0;0;0;0;0;0;0;0;1
"eguet";0;0;0;0;1;0;0;0;0;0;0;0
"eguia";0;0;0;0;0;0;0;0;1;0;0;0
"eil";0;1;1;0;0;1;1;1;2;1;0;0
"eill";1;0;0;0;0;0;0;0;0;0;0;0
"eiorn";0;0;0;0;0;0;0;0;2;0;0;0
"eis";1;0;0;0;0;0;0;0;0;0;1;0
"eissamen";1;0;0;0;0;0;0;0;0;0;0;0
"el";4;1;1;5;4;1;1;2;1;3;3;0
"elas";0;0;0;0;0;0;0;0;1;0;0;0
"eldia";0;0;0;0;0;0;0;0;0;0;1;0
"eleial";0;0;0;0;0;0;0;0;0;0;0;1
"elenanssa";0;0;0;0;0;0;0;0;0;1;0;0
"elet";0;0;0;1;0;0;0;0;0;0;0;0
"ellam";0;0;0;0;0;0;1;0;0;0;0;0
"elmon";0;0;0;0;0;0;0;0;1;0;0;0
"elors";0;0;0;0;1;0;0;0;0;0;0;0
"els";0;0;1;0;3;0;0;2;1;0;0;0
"elus";0;0;0;0;0;0;0;0;1;0;0;0
"em";0;0;0;0;4;0;0;0;0;0;1;0
"ema";0;0;0;0;0;0;0;0;0;0;1;0
"emacompaing";0;0;0;0;0;0;0;1;0;0;0;0
"emembranssa";0;0;0;0;0;0;0;0;1;0;0;0
"emembre";0;0;0;0;0;0;0;0;0;1;0;0
"emembres";0;0;0;0;0;0;0;0;0;1;0;0
"emespres";0;0;0;0;0;0;0;1;0;0;0;0
"emfuich";0;0;0;0;0;0;0;0;1;0;0;0
"emon";0;0;0;0;0;0;0;0;0;0;0;1
"empren";0;0;0;0;0;0;0;0;1;0;0;0
"emsec";0;0;0;0;0;0;0;0;1;0;0;0
"en";5;3;3;4;3;1;2;0;0;2;1;1
"enamoratz";0;1;0;0;0;0;0;0;0;0;0;0
"enan";0;0;0;0;0;0;1;0;0;1;0;0
"enans";0;0;0;0;1;0;0;0;0;0;0;0
"encabalitz";0;0;0;2;0;0;0;0;0;0;0;0
"encreiria";0;0;0;0;0;0;0;0;0;0;1;0
"encrima";0;0;1;0;0;0;0;0;0;0;0;0
"encui";0;0;0;0;0;0;0;0;1;0;0;0
"endia";0;0;0;0;0;0;0;0;0;0;0;1
"enemics";0;1;0;0;0;0;0;1;1;0;0;0
"engan";0;0;0;0;0;0;0;1;0;1;0;0
"enganador";1;0;0;0;0;0;0;0;0;0;0;0
"enganairitz";0;1;0;0;0;0;0;0;0;0;0;0
"enganar";0;1;0;0;0;0;0;0;0;0;0;0
"engans";0;0;0;0;0;1;0;0;0;0;0;0
"engeing";1;0;0;0;0;0;0;0;0;0;0;0
"enic";0;0;0;0;0;0;0;0;0;1;0;0
"enlur";0;0;0;0;0;0;0;0;0;0;1;0
"enoi";0;0;0;0;0;0;0;0;0;0;0;1
"enoil";0;0;0;0;0;0;0;0;0;0;0;1
"enom";0;0;0;0;0;0;1;0;0;0;0;0
"enon";0;0;0;0;0;0;0;2;0;0;0;3
"enperdon";0;0;0;0;0;0;0;0;0;1;0;0
"enplaing";0;0;0;0;0;0;0;1;0;0;0;0
"enploron";0;0;0;0;0;0;0;1;0;0;0;0
"enpren";0;0;0;0;0;0;1;1;0;0;0;0
"enpres";0;0;0;0;0;0;0;1;0;0;0;0
"enpretz";0;0;0;0;0;0;0;0;0;1;0;0
"enqers";0;0;0;1;0;0;0;0;0;0;0;0
"enrazonatz";0;0;0;0;1;0;0;0;0;0;0;0
"enseignatz";0;0;0;0;1;0;0;0;0;0;0;0
"enseignaua";0;0;0;0;0;1;0;0;0;0;0;0
"ensospira";0;0;0;0;0;0;0;1;0;0;0;0
"entencion";0;0;0;0;0;0;0;0;0;1;0;0
"entiers";0;0;0;0;0;0;0;0;0;0;1;0
"entot";0;0;0;0;0;0;0;0;0;0;1;0
"entre";0;0;0;0;0;0;0;0;0;0;1;0
"entrels";0;0;1;0;0;1;0;0;0;0;0;0
"entro";0;0;0;0;0;0;1;0;0;0;0;0
"enueiat";1;0;0;0;0;0;0;0;0;0;0;0
"enuers";0;0;0;1;0;0;0;0;0;0;0;0
"eper";0;0;0;0;0;0;0;0;0;0;1;0
"eplus";0;0;0;0;0;0;0;1;0;0;0;0
"epois";0;0;0;0;0;0;1;0;0;0;0;0
"eprec";0;0;0;0;0;0;0;0;0;1;0;0
"epretz";0;0;0;0;0;0;0;0;0;0;0;1
"eqieu";0;0;0;0;0;0;0;0;0;0;0;1
"er";0;0;0;1;0;0;0;0;0;0;1;0
"era";0;0;0;0;1;0;0;0;0;0;0;0
"eral";0;0;0;0;0;0;0;0;0;0;1;0
"eras";0;0;0;0;0;1;0;0;0;0;0;0
"erba";0;0;1;0;0;0;0;0;0;0;0;0
"ere";1;0;0;0;0;0;0;0;0;0;0;0
"erec";0;0;0;1;0;0;0;0;0;0;0;0
"error";1;0;0;0;0;0;0;0;0;0;0;0
"es";0;3;4;4;6;2;3;3;3;3;3;2
"esa";0;0;0;0;0;0;0;0;0;1;0;0
"esarazon";0;0;0;0;0;0;0;0;0;1;0;0
"escarnitz";0;1;0;0;0;0;0;0;0;0;0;0
"escazer";0;0;0;0;0;0;0;0;0;0;0;1
"escur";0;0;0;0;0;0;0;1;0;0;0;0
"esegura";0;0;0;0;0;0;0;0;0;0;1;0
"esgar";0;0;0;0;0;0;0;0;0;0;1;0
"esgau";1;0;0;0;0;0;0;0;0;0;0;0
"esi";0;0;0;0;0;0;0;0;0;0;0;1
"esieu";0;0;0;0;0;0;0;0;0;1;0;0
"esit";0;0;0;0;0;0;0;0;0;0;1;0
"esmai";0;0;0;0;0;0;0;0;1;0;0;0
"esmendar";0;0;0;0;0;0;0;0;0;0;1;0
"esmers";0;0;0;1;0;0;0;0;0;0;0;0
"esobriers";0;0;0;0;0;0;0;0;0;0;1;0
"eson";0;0;0;0;0;0;1;0;0;0;0;0
"esos";0;0;0;0;0;0;0;0;0;0;1;0
"espauen";0;0;0;0;0;0;0;1;0;0;0;0
"esperan";0;0;0;0;0;0;0;0;0;1;0;0
"esperanssam";0;0;0;0;0;1;0;0;0;0;0;0
"esperar";0;0;1;0;0;0;0;0;0;0;1;0
"esperes";0;0;0;0;0;1;0;0;0;0;0;0
"espleia";0;0;0;0;0;0;0;0;0;1;0;0
"esser";0;0;0;0;1;0;0;0;0;0;0;0
"esta";0;0;1;0;0;0;0;0;0;0;0;0
"estaing";0;0;0;0;0;0;0;1;0;0;0;0
"estar";0;0;0;0;1;0;0;0;0;0;0;0
"estat";0;1;0;0;0;0;0;0;0;0;0;0
"estatz";0;0;0;0;0;0;0;0;0;0;1;0
"esters";0;0;0;1;0;0;0;0;0;0;0;0
"estia";0;0;0;0;0;0;0;0;0;0;1;1
"estiu";0;1;0;0;0;0;0;0;0;0;0;0
"estortz";0;0;0;0;1;0;0;0;0;0;0;0
"estraing";0;0;0;0;0;0;0;1;0;0;0;0
"estrais";0;0;0;0;1;0;0;0;0;0;0;0
"et";1;0;0;1;0;0;0;6;2;2;3;1
"etant";0;0;0;0;0;0;1;0;0;0;0;0
"etiran";0;0;0;0;0;0;0;0;0;1;0;0
"etz";0;0;0;0;0;0;0;0;1;0;0;0
"eu";0;0;0;0;1;0;0;0;1;1;0;1
"euauc";0;0;0;0;0;0;0;1;0;0;0;0
"eue";0;0;0;0;0;0;0;0;1;0;0;0
"euers";0;0;0;1;0;0;0;0;0;0;0;0
"eum";0;0;0;0;1;0;0;0;0;0;0;0
"euostra";0;0;0;0;0;0;0;0;1;0;0;0
"fai";1;0;1;2;2;1;0;0;1;0;0;1
"faich";0;0;0;0;0;1;1;1;1;3;1;1
"faicha";0;0;0;0;0;0;0;0;0;0;1;0
"faig";0;0;1;0;0;0;0;0;0;0;0;0
"faill";0;0;0;0;0;2;1;0;0;0;0;0
"faillison";0;0;0;0;0;0;0;0;0;1;0;0
"faillitz";0;1;0;0;0;0;0;0;0;0;0;0
"faire";0;0;0;0;0;0;1;0;0;0;0;0
"fais";0;1;0;0;2;0;0;0;0;0;0;0
"faissonan";0;0;0;0;0;0;0;0;0;0;1;0
"faissos";0;0;0;0;0;0;0;0;1;0;0;0
"faitz";1;1;0;0;1;0;0;0;2;0;0;0
"fallii";0;0;0;0;1;0;0;0;0;0;0;0
"fals";1;0;0;0;0;0;0;0;0;0;1;0
"falsa";0;1;0;0;0;0;0;0;0;0;0;0
"fams";1;0;0;0;0;0;0;0;0;0;0;0
"fan";0;0;0;0;0;0;0;2;0;0;0;0
"fant";2;0;0;0;0;0;0;0;0;0;0;0
"far";3;0;2;0;1;1;0;2;1;2;2;2
"fara";0;0;0;1;0;0;0;0;0;0;1;0
"farai";0;0;0;0;0;0;0;0;5;0;0;0
"faria";0;0;0;0;0;0;0;0;0;0;0;1
"fasa";0;0;0;0;0;0;0;1;0;0;0;0
"fasia";0;0;0;0;0;0;0;0;0;0;1;0
"fassa";0;0;1;0;0;0;1;1;0;1;0;0
"fassen";0;0;0;0;0;0;0;0;0;0;1;0
"fasson";1;0;0;0;0;0;0;0;0;0;0;0
"fastics";0;0;0;0;0;0;0;0;0;0;0;1
"fatz";0;0;0;0;0;0;0;0;1;0;0;1
"fe";0;0;0;0;0;0;0;0;1;0;0;0
"fedas";0;0;1;0;0;0;0;0;0;0;0;0
"feing";1;0;0;0;0;0;0;0;0;0;0;0
"feira";0;0;0;0;0;0;1;0;0;0;0;0
"fenina";0;0;1;0;0;0;0;0;0;0;0;0
"fenis";0;0;0;0;0;0;0;1;0;0;0;0
"fenissam";0;0;0;0;0;0;0;1;0;0;0;0
"ferm";0;0;0;0;0;0;0;0;0;0;1;0
"ferma";0;0;0;0;0;0;1;0;0;0;0;0
"fers";0;0;0;1;0;0;0;0;0;0;0;0
"fes";0;0;0;0;1;0;0;0;0;0;0;0
"fetz";0;0;0;2;0;0;1;0;0;0;2;0
"feuneia";0;0;0;0;0;0;0;0;0;1;0;0
"feunia";0;0;0;0;0;0;1;0;0;0;0;0
"fezes";0;0;0;0;0;0;1;2;1;0;0;0
"fiar";0;1;0;0;0;0;0;0;0;0;0;0
"fili";1;0;0;0;0;0;0;0;0;0;0;0
"fill";0;0;1;0;0;0;0;0;0;0;0;0
"fills";0;0;0;0;2;0;0;0;0;0;0;0
"fin";1;0;0;0;0;1;0;1;2;0;1;1
"fina";0;0;0;0;0;2;0;0;1;0;0;0
"fincor";0;0;0;0;0;0;0;0;1;0;0;0
"fior";0;0;1;0;0;0;0;0;0;0;0;0
"fis";0;0;0;1;0;0;0;0;0;0;0;0
"flor";0;1;0;0;0;0;0;0;0;0;0;0
"flors";2;0;0;0;1;1;0;0;0;0;0;0
"fo";0;0;0;3;3;2;0;0;0;0;0;0
"foillia";0;0;0;1;0;0;0;0;0;0;0;1
"fol";0;0;1;0;0;0;0;0;0;0;0;1
"fola";0;0;0;1;0;0;0;0;0;1;0;0
"folla";0;0;0;1;0;0;0;0;0;0;0;0
"follor";0;0;0;0;0;0;0;0;0;1;0;0
"follors";0;0;0;0;1;1;0;0;0;0;0;0
"fols";0;0;1;2;3;0;0;0;0;1;0;0
"fon";0;0;0;0;1;0;0;0;0;1;0;0
"fora";0;0;0;0;1;1;1;0;0;0;1;0
"formee";0;0;1;0;0;0;0;0;0;0;0;0
"foron";0;0;0;0;0;0;0;0;0;1;0;0
"forsa";0;0;0;0;0;1;0;0;0;0;0;0
"fort";0;0;0;0;0;0;1;0;0;0;1;0
"fortz";0;0;0;0;2;0;0;0;0;0;0;0
"fos";0;0;0;0;3;3;1;0;0;0;0;0
"fouz";0;0;0;1;0;0;0;0;0;0;0;0
"fraing";0;0;0;0;0;0;0;1;0;1;0;0
"francs";0;0;0;1;0;1;0;0;0;0;0;0
"franqessa";0;0;0;0;0;1;0;0;0;0;0;0
"franquesa";0;0;0;0;0;0;1;0;0;0;0;0
"freig";0;0;1;0;0;0;0;0;0;0;0;0
"fresc";0;0;1;0;0;0;0;0;0;0;0;0
"fruig";0;0;1;0;0;0;0;0;0;0;0;0
"fruitz";0;0;1;0;0;0;0;0;0;0;0;0
"fugis";0;0;0;0;0;0;0;1;0;0;0;0
"fui";0;2;0;1;1;0;0;0;0;0;1;0
"fuoc";0;0;0;1;0;0;0;0;0;0;0;0
"fuoilla";0;0;0;0;0;1;0;0;0;0;0;0
"gaban";0;0;0;1;0;0;0;0;0;0;0;0
"gabet";0;0;0;0;1;0;0;0;0;0;0;0
"gai";0;0;0;0;0;0;0;1;0;0;0;0
"gaire";0;1;0;0;0;0;0;0;0;0;0;1
"gais";0;0;0;0;1;1;0;0;0;0;0;0
"gaitz";0;1;0;0;0;0;0;0;0;0;0;0
"galiars";0;0;0;0;1;0;0;0;0;0;0;0
"galiatz";0;0;0;0;1;0;0;0;0;0;0;0
"galuaing";0;0;0;0;0;0;0;1;0;0;0;0
"gandas";0;0;0;0;1;0;0;0;0;0;0;0
"gandir";0;0;0;0;0;0;0;0;1;0;0;0
"gans";0;0;0;0;1;0;0;0;0;0;0;0
"gar";0;1;0;0;0;0;0;0;0;0;0;0
"gara";0;0;0;0;1;0;0;0;0;0;0;0
"gardacor";0;0;0;0;0;0;0;1;0;0;0;0
"gardador";1;0;0;0;0;0;0;0;0;0;0;0
"gardar";0;0;1;0;0;0;0;0;0;0;0;0
"gardes";0;0;0;0;0;1;0;0;0;0;0;0
"gardon";1;0;0;0;0;0;0;0;0;0;0;0
"garenta";0;0;0;0;0;0;0;0;0;0;1;0
"garentia";0;0;0;0;0;0;0;0;0;0;1;1
"gares";0;0;0;0;0;1;0;0;0;0;0;0
"garitz";0;1;0;0;0;0;0;0;0;0;0;0
"gars";1;0;0;0;0;0;0;0;0;0;0;0
"gasta";1;0;0;0;0;0;0;0;0;0;0;0
"gauzen";0;0;0;0;0;0;0;1;0;0;0;0
"gazaing";0;0;0;0;0;0;0;1;0;0;0;0
"gelos";1;0;0;0;0;0;0;0;1;0;0;0
"gen";2;1;1;0;1;0;0;1;0;0;3;3
"gens";0;0;3;0;1;0;0;0;0;1;0;0
"gerreia";0;0;0;0;0;0;0;0;0;1;0;0
"gerreiar";0;1;0;0;0;0;0;0;0;0;0;0
"gerriers";0;0;0;0;0;0;0;0;0;0;1;0
"ges";0;0;0;0;0;1;2;2;0;0;0;1
"gilos";1;0;0;0;0;0;0;0;0;0;0;0
"girbau";1;0;0;0;0;0;0;0;0;0;0;0
"girbaudo";1;0;0;0;0;0;0;0;0;0;0;0
"gnatz";0;0;0;0;1;0;0;0;0;0;0;0
"grais";0;0;0;0;1;0;0;0;0;0;0;0
"gran";1;0;0;0;0;0;1;0;1;1;0;2
"grand";1;0;0;0;0;0;0;0;0;0;0;0
"grans";1;1;0;1;1;0;0;0;0;0;0;2
"grat";0;0;0;0;0;0;0;0;0;0;0;1
"grauzir";0;0;0;0;0;0;0;0;0;1;0;0
"grazir";0;0;0;1;0;0;0;1;0;0;0;0
"grazirs";0;0;0;0;0;2;0;0;0;0;0;0
"grazitz";0;0;0;0;1;1;0;0;0;0;0;0
"greia";0;0;0;0;0;0;0;0;0;1;0;0
"greu";1;0;0;2;1;0;0;0;0;0;0;0
"greumen";0;0;0;0;0;0;0;1;0;0;0;0
"groc";1;0;0;0;0;0;0;0;0;0;0;0
"guia";0;0;0;0;0;0;1;0;0;0;1;0
"guida";0;0;0;0;0;0;0;0;0;0;1;0
"guizals";1;0;0;0;0;0;0;0;0;0;0;0
"guizerdon";0;0;0;0;0;0;0;0;0;1;0;0
"hi";0;0;0;0;0;0;0;0;0;1;0;0
"hoc";0;0;0;0;0;0;0;0;0;0;1;0
"hom";1;1;2;0;0;0;1;0;0;3;1;3
"home";0;0;0;0;0;0;0;0;1;0;0;0
"homen";0;0;1;0;0;0;0;0;0;0;0;1
"honor";0;0;0;0;0;0;0;0;0;1;0;0
"honors";0;0;0;0;1;1;0;0;0;0;0;0
"honranssa";0;0;0;0;0;0;0;0;1;0;0;0
"honrar";0;0;0;0;0;0;0;0;0;0;1;1
"hora";0;1;0;0;0;0;0;0;0;0;0;0
"humilmen";0;0;0;0;0;0;0;1;0;0;0;0
"humils";0;0;0;0;0;0;0;0;1;0;0;0
"huoili";0;0;0;0;0;0;0;1;0;0;0;0
"huoill";0;0;0;0;0;0;0;1;0;0;0;0
"huoills";0;0;0;1;0;0;0;1;0;0;0;0
"huoimais";0;0;0;0;0;0;0;0;0;0;1;0
"i";0;1;0;0;0;0;0;0;0;0;0;0
"ia";0;1;0;2;2;3;3;0;1;0;0;0
"iai";0;0;0;0;0;0;0;0;0;1;0;0
"iais";0;1;0;0;1;1;0;0;0;0;0;0
"ial";0;0;0;0;1;0;0;0;0;0;0;0
"ials";0;0;0;0;0;1;0;0;0;0;0;0
"iam";0;0;0;0;0;0;0;1;0;0;0;0
"ien";0;0;0;1;0;0;0;0;0;0;0;0
"ies";0;0;0;1;0;1;0;0;0;0;1;0
"ieu";2;1;0;1;0;1;3;2;15;0;0;0
"il";0;1;0;1;0;0;0;0;0;0;2;0
"ill";0;0;0;0;0;0;0;2;0;0;0;0
